tenure_categories,Countby_tenure,division
31 ปีขึ้นไป,2,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
31 ปีขึ้นไป,1,ฝ่ายสินค้าการท่องเที่ยว
31 ปีขึ้นไป,4,ภูมิภาคเอเชียตะวันออก
31 ปีขึ้นไป,10,ภูมิภาคภาคเหนือ
31 ปีขึ้นไป,8,ภูมิภาคภาคใต้
31 ปีขึ้นไป,8,ภูมิภาคภาคกลาง
31 ปีขึ้นไป,4,ภูมิภาคภาคตะวันออก
31 ปีขึ้นไป,11,ภูมิภาคภาคตะวันออกเฉียงเหนือ
31 ปีขึ้นไป,3,ภูมิภาคยุโรป
31 ปีขึ้นไป,3,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
31 ปีขึ้นไป,4,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
31 ปีขึ้นไป,8,รองผู้ว่าการ
31 ปีขึ้นไป,1,สำนักผู้ว่าการ
